,year,url,batter,batter_hand,pitcher,pitcher_hand,event,type,x,y,start_speed,end_speed,sz_top,sz_bot,pfx_x,pfx_z,px,py,pz,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,break_y,break_angle,break_length,pitch_type,spin_dir,spin_rate
64,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_03/gid_2010_04_03_bosmlb_wasmlb_1/inning/inning_all.xml,134181,R,489334,R,Groundout,X,102.15,140.74,90.7,84.4,3.34,1.56,-3.394,8.664,0.002,1.4,2.594,-1.864,50,6.09,6.079,-132.773,-6.077,-6.124,25.564,-16.468,23.9,15.9,4.1,Four seam fast ball,201.3,1842.004
104,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_04/gid_2010_04_04_nyamlb_bosmlb_1/inning/inning_all.xml,134181,R,282332,L,Sac Fly,X,85.84,127.79,88,80.1,3.29,1.56,7.85,12.5,0.483,1.4,3.194,2.354,50,6.056,-7.307,-128.69,-4.992,13.031,29.37,-11.36,23.7,-42.4,4.1,Change-up,147.952,2768.386
115,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_04/gid_2010_04_04_nyamlb_bosmlb_1/inning/inning_all.xml,134181,R,502085,R,Single,X,84.98,119.16,92,84.1,3.29,1.56,-1.2,15.3,0.596,1.4,3.586,-1.585,50,5.485,6.198,-134.684,-4.255,-2.191,30.811,-4.153,23.7,8.7,1.2,Four seam fast ball,184.469,3027.565
174,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_06/gid_2010_04_06_nyamlb_bosmlb_1/inning/inning_all.xml,134181,R,150359,R,Single,X,71.24,174.42,83.1,74.4,3.29,1.56,6.74,-6.72,0.925,1.4,1.339,-1.939,50,5.623,4.702,-121.834,-1.244,9.641,34.758,-41.705,23.6,-14.4,12.4,Knuckle curve,45.328,1614.334
180,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_06/gid_2010_04_06_nyamlb_bosmlb_1/inning/inning_all.xml,134181,R,150359,R,Single,X,87.55,123.47,95.2,85.3,3.29,1.56,-4.7,8.11,0.243,1.4,3.404,-1.725,50,5.876,7,-139.423,-3.659,-8.978,40.212,-16.63,23.6,21.6,4.1,Four seam fast ball,210.009,1867.86
186,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_06/gid_2010_04_06_nyamlb_bosmlb_1/inning/inning_all.xml,134181,R,469686,R,Lineout,X,87.55,152.83,88.8,80,3.29,1.56,0.87,5.2,0.318,1.4,2.072,-2.09,50,6.107,5.814,-130.006,-5.591,1.445,35.008,-23.471,23.7,-6.7,6.2,Cut-Fastball,170.575,984.494
214,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_07/gid_2010_04_07_nyamlb_bosmlb_1/inning/inning_all.xml,134181,R,120485,L,Flyout,X,115.88,137.29,90,81.1,3.53,1.56,3.13,10.84,-0.506,1.4,2.749,1.816,50,6.174,-7.011,-131.619,-6.174,5.352,34.318,-13.554,23.7,-13.3,3.7,Four seam fast ball,163.965,2135.506
221,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_07/gid_2010_04_07_nyamlb_bosmlb_1/inning/inning_all.xml,134181,R,120485,L,Flyout,X,79.83,152.83,76.1,68.9,3.29,1.56,-5.57,-4.86,0.654,1.4,1.975,2.314,50,6.031,-2.042,-111.536,-0.046,-6.77,26.501,-38.007,23.7,10.7,13,Curve ball,310.749,1162.366
226,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_07/gid_2010_04_07_nyamlb_bosmlb_1/inning/inning_all.xml,134181,R,120485,L,Single,X,74.68,158.88,88.2,79.3,3.29,1.56,7.23,8.35,0.915,1.4,2.04,1.926,50,6.012,-4.894,-129.062,-6.331,11.825,34.3,-18.438,23.6,-27.8,5.7,Two-seam fastball,139.277,2037.403
233,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_07/gid_2010_04_07_nyamlb_bosmlb_1/inning/inning_all.xml,134181,R,120221,R,Flyout,X,99.57,157.15,92.7,83,3.29,1.56,-7.68,7.08,0.144,1.4,1.849,-2.464,50,5.51,9.498,-135.464,-5.995,-13.814,38.264,-19.353,23.6,28.1,5.4,Sinker,227.134,2018.448
327,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_09/gid_2010_04_09_bosmlb_kcamlb_1/inning/inning_all.xml,134181,R,434678,R,Field Error,X,109.01,165.78,93.4,84.4,3.29,1.56,-7.83,13.23,-0.237,1.4,1.765,-2.1,50,5.882,7.683,-136.402,-9.564,-14.469,35.455,-7.659,23.7,51,3.6,Four seam fast ball,210.548,3027.711
335,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_09/gid_2010_04_09_bosmlb_kcamlb_1/inning/inning_all.xml,134181,R,434678,R,Groundout,X,105.58,117.43,92.9,84.6,3.29,1.56,-5.48,15.01,-0.18,1.4,3.812,-2.123,50,6.147,7.096,-135.914,-5.444,-10.171,32.176,-4.263,23.7,56.9,2.2,Four seam fast ball,200.021,3170.946
340,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_09/gid_2010_04_09_bosmlb_kcamlb_1/inning/inning_all.xml,134181,R,434678,R,Flyout,X,103.86,162.33,82.8,74.7,3.29,1.56,-14.1,10.85,-0.06,1.4,1.874,-2.29,50,5.98,9.584,-120.878,-6.232,-20.383,28.656,-16.414,23.7,45.5,7.2,Change-up,232.288,3092.346
346,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_09/gid_2010_04_09_bosmlb_kcamlb_1/inning/inning_all.xml,134181,R,407297,R,Single,X,84.98,148.51,86.6,78.7,3.29,1.56,-2.84,6.87,0.322,1.4,2.358,-2.674,50,5.456,8.36,-126.765,-3.445,-4.548,30.139,-21.124,23.7,6.9,5.6,Change-up,202.37,1367.562
457,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_11/gid_2010_04_11_bosmlb_kcamlb_1/inning/inning_all.xml,134181,R,219194,R,Single,X,86.7,101.89,95.8,86.2,3.29,1.56,-3.84,13.92,0.386,1.4,4.364,-1.628,50,6.331,6.886,-140.311,-4.486,-7.47,38.643,-4.99,23.6,41.9,1.8,Four seam fast ball,195.364,2914.952
473,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_11/gid_2010_04_11_bosmlb_kcamlb_1/inning/inning_all.xml,134181,R,434565,R,Double,X,84.12,154.56,96.3,87.5,3.29,1.56,-8.24,13.44,0.437,1.4,2.122,-2.269,50,5.224,10.433,-140.621,-7.583,-16.319,35.084,-5.478,23.7,61.8,3.2,Two-seam fastball,211.436,3228.051
482,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_11/gid_2010_04_11_bosmlb_kcamlb_1/inning/inning_all.xml,134181,R,407297,R,Flyout,X,87.55,152.83,82.1,74.4,3.29,1.56,5.6,2.74,0.391,1.4,2.172,-2.667,50,5.192,5.485,-120.352,-1.102,8.002,28.966,-28.188,23.7,-17.9,8.5,Slider,116.48,1077.649
490,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_11/gid_2010_04_11_bosmlb_kcamlb_1/inning/inning_all.xml,134181,R,430638,R,Single,X,87.55,137.29,95,85.6,3.29,1.56,-9.8,9.13,0.367,1.4,2.8,-1.754,50,5.77,9.207,-138.985,-5.367,-18.72,37.999,-14.67,23.7,45.2,4.9,Sinker,226.922,2675.225
543,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_12/gid_2010_04_12_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,134321,R,Groundout,X,57.51,153.69,89.1,82.7,3.29,1.56,-3.1,10.37,1.247,1.4,2.176,-2.332,50,6.347,10.259,-130.022,-7.986,-5.352,25.183,-14.2,23.8,12.4,3.8,Four seam fast ball,196.58,2092.555
548,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_12/gid_2010_04_12_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,134321,R,Groundout,X,122.75,154.56,89.2,82.8,3.29,1.56,-4.88,7.09,-0.778,1.4,2.002,-2.68,50,6.44,6.547,-130.377,-7.617,-8.453,25.625,-19.82,23.8,18.8,5.2,Sinker,214.38,1665.703
556,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_12/gid_2010_04_12_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,488846,L,Single,X,79.83,131.24,89.8,82.8,3.29,1.56,12.24,2.45,0.564,1.4,2.988,2.554,50,6.003,-9.292,-131.423,-2.462,21.424,27.739,-27.82,23.8,-34.6,8,Sinker,101.488,2413.347
561,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_12/gid_2010_04_12_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,400010,R,Flyout,X,72.1,157.15,84,77.4,3.43,1.56,5.61,2.5,0.792,1.4,1.883,-0.783,50,6.748,2.051,-123.011,-5.917,8.511,26.577,-28.307,23.8,-16.7,8.2,Slider,114.435,1102.532
612,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_14/gid_2010_04_14_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,458713,R,Lineout,X,141.63,114.84,90.6,83.7,3.43,1.56,-2.79,6.63,-1.249,1.4,3.746,-1.919,50,5.788,2.713,-132.888,-1.521,-5.009,27.516,-20.206,23.8,12.3,4.7,Four seam fast ball,202.709,1416.408
623,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_14/gid_2010_04_14_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,458713,R,Flyout,X,76.39,145.06,90.1,82.3,3.43,1.56,-3.11,11.6,0.686,1.4,2.562,-1.9,50,5.8,7.749,-131.781,-6.109,-5.416,30.172,-11.865,23.7,15.6,3.2,Four seam fast ball,194.931,2313.964
627,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_14/gid_2010_04_14_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,450212,R,Groundout,X,71.24,145.06,80.9,75.9,3.43,1.56,-0.84,1.48,0.814,1.4,2.584,-2.99,50,4.803,9.209,-118.316,1.145,-1.211,18.778,-29.961,23.9,-0.3,8.3,Slider,208.687,309.329
633,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_14/gid_2010_04_14_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,430884,R,Double,X,116.74,135.56,93.3,86.2,3.43,1.56,-6.19,5.9,-0.4,1.4,2.785,-1.267,50,5.906,4.514,-136.657,-4.565,-11.737,29.125,-20.898,23.8,26.3,5.2,Two-seam fastball,226.147,1727.888
638,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_14/gid_2010_04_14_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,488751,R,Groundout,X,101.29,173.55,84.9,79.2,3.43,1.56,3.28,0.67,-0.054,1.4,1.351,-1.351,50,5.993,2.143,-124.394,-5.118,5.161,23.725,-31.042,23.9,-9.8,8.3,Slider,102.371,616.226
697,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_15/gid_2010_04_15_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,434538,L,Groundout,X,90.99,158.01,83.2,76.8,3.43,1.56,11.3,6,0.262,1.4,1.942,1.214,50,5.466,-5.822,-121.888,-3.681,16.987,24.051,-23.082,23.8,-33.8,7.7,Change-up,118.158,2293.287
704,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_15/gid_2010_04_15_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,434538,L,Groundout,X,90.99,133.84,93.1,85.2,3.43,1.56,10.98,5.18,0.403,1.4,2.984,1.469,50,5.407,-6.686,-136.409,-2.333,20.546,31.901,-22.415,23.8,-39.6,6.5,Two-seam fastball,115.407,2419.148
710,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_15/gid_2010_04_15_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,434538,L,Groundout,X,136.48,151.1,93.2,86,3.43,1.56,11.27,2.39,-1.006,1.4,2.151,0.934,50,5.344,-9.168,-136.383,-3.48,21.24,29.716,-27.594,23.8,-34.3,7.4,Two-seam fastball,102.169,2311.348
719,2010,http://gd2.mlb.com/components/game/mlb/year_2010/month_04/day_15/gid_2010_04_15_bosmlb_minmlb_1/inning/inning_all.xml,134181,R,467726,L,Grounded Into DP,X,73.82,126.93,88.7,81.2,3.43,1.56,4.45,8.29,0.72,1.4,3.463,2.471,50,5.856,-5.957,-129.879,-2.6,7.555,28.664,-18.024,23.8,-18.6,4.7,Four seam fast ball,151.903,1791.776
